year,gpu_name_clean,retail_price,used_price,wattage,vram,3dmark
2022,radeon rx 6800 xt,814.0,489.0,300.0,16.0,19187
2022,geforce gtx 1650,132.0,105.0,75.0,4.0,3552
2022,geforce gtx 1650,139.0,198.0,75.0,4.0,3552
2022,geforce rtx 3090,1490.0,797.0,350.0,24.0,19901
2022,geforce rtx 3060,367.0,255.0,170.0,12.0,8739
2022,geforce rtx 3060,362.0,264.0,170.0,12.0,8739
2022,radeon rx 6900 xt,1107.0,669.0,300.0,16.0,20621
2022,geforce gtx 1060,259.0,107.0,120.0,6.0,4215
2022,radeon rx 6500 xt,164.0,131.0,107.0,4.0,4973
2022,geforce gtx 1060,259.0,197.0,120.0,6.0,4215
2022,radeon rx 6900 xt,999.0,684.0,300.0,16.0,20621
2022,radeon rx 6500 xt,174.0,136.0,107.0,4.0,4973
2022,geforce rtx 3080 ti,1159.0,758.0,350.0,12.0,19592
2022,geforce rtx 3080 ti,1149.0,818.0,350.0,12.0,19592
2022,radeon rx 6800,539.0,415.0,250.0,16.0,15972
2022,geforce rtx 3060 ti,439.0,287.0,200.0,8.0,11744
2022,radeon rx 6750 xt,469.0,448.0,250.0,12.0,13595
2022,radeon rx 6600,242.0,214.0,132.0,8.0,8158
2022,radeon rx 6750 xt,518.0,448.0,250.0,12.0,13595
2022,geforce rtx 3050,295.0,245.0,130.0,8.0,6205
2022,geforce rtx 2060,379.0,184.0,160.0,6.0,7601
2022,radeon rx 6650 xt,304.0,375.0,176.0,8.0,10027
2022,radeon rx 6650 xt,299.0,299.0,176.0,8.0,10027
2022,geforce gtx 1660 ti,431.0,148.0,120.0,6.0,6373
2022,radeon rx 6600 xt,352.0,207.0,160.0,8.0,9707
2022,radeon rx 6700 xt,379.0,290.0,230.0,12.0,12808
2022,geforce gtx 1660 ti,259.0,207.0,120.0,6.0,6373
2022,radeon rx 6800,539.0,429.0,250.0,16.0,15972
2022,radeon rx 6600 xt,347.0,266.0,160.0,8.0,9707
2022,geforce rtx 2080 ti,799.0,418.0,250.0,11.0,14628
2022,geforce rtx 2080 ti,1859.0,387.0,250.0,11.0,14628
2022,geforce rtx 4090,2079.0,2119.0,450.0,24.0,35966
2022,geforce gtx 1660 super,290.0,135.0,125.0,6.0,6078
2022,geforce gtx 1660 super,195.0,203.0,125.0,6.0,6078
2022,geforce rtx 3050,309.0,255.0,130.0,8.0,6205
2022,radeon rx 6600,263.0,178.0,132.0,8.0,8158
2022,radeon rx 6700 xt,372.0,292.0,230.0,12.0,12808
2022,geforce rtx 3060 ti,514.0,296.0,200.0,8.0,11744
2022,geforce rtx 3090,1489.0,768.0,350.0,24.0,19901
2022,geforce rtx 2060,329.0,199.0,160.0,6.0,7601
2022,geforce rtx 3070,569.0,344.0,220.0,8.0,13663
2022,radeon rx 6400,149.0,130.0,53.0,4.0,3622
2022,geforce rtx 3070 ti,718.0,468.0,290.0,8.0,14831
2022,geforce rtx 3070 ti,679.0,462.0,290.0,8.0,14831
2022,radeon rx 580,159.0,193.0,185.0,8.0,4346
2022,radeon rx 6400,142.0,130.0,53.0,4.0,3622
2022,radeon rx 6800 xt,1009.0,538.0,300.0,16.0,19187
2022,radeon rx 580,134.0,89.0,185.0,8.0,4346
2022,geforce rtx 3080,790.0,546.0,320.0,10.0,17656
2022,geforce rtx 3080,903.0,535.0,320.0,10.0,17656
2022,geforce rtx 3070,581.0,349.0,220.0,8.0,13663
